name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
ECOLE PRIMAIRE MBOLU,-0.0604783,29.428695,safe,180.47,Battle,2024-01-01,6435423114
Ecole Primaire Lwanzo,-0.0372017,29.4336067,safe,183.11,Battle,2024-01-01,6435423115
Ecole Primaire Kakohwa,-0.0125767,29.4241,safe,185.69,Battle,2024-01-01,6435423116
EP Raha Yetu,0.00973,29.39892,safe,187.83,Battle,2024-01-01,6435423125
Ecole Primaire Kyondo,0.0106783,29.39978,safe,187.95,Battle,2024-01-01,6435423126
Ecole Primaire Sangilayi,-7.0075108,23.4450302,safe,780.86,Violence against civilians,2024-01-02,6438791115
Ecole Primaire Sadilayi,-7.0071581,23.4483241,safe,780.56,Violence against civilians,2024-01-02,6438801690
Lycée Moyo Mupeluke wa Maria LMMM,-7.0082966,23.4554252,safe,780.04,Violence against civilians,2024-01-02,6445981418
Lycée Coeur Immaculé,-6.9929029,23.443258,safe,779.98,Violence against civilians,2024-01-02,6447491069
Adi,3.4106999,30.781538,safe,591.01,Battle,2024-01-01,6468543823
Gala,3.0565535,30.6729084,safe,549.82,Battle,2024-01-01,6468543824
Avo Oka,3.207129,30.7883615,safe,569.64,Battle,2024-01-01,6468543825
Adradrua,3.2634843,30.7227523,safe,573.44,Battle,2024-01-01,6468543826
Nderi,3.2300493,30.7709927,safe,571.48,Battle,2024-01-01,6468543827
Institut Wasingya,0.48852,29.44874,safe,241.36,Battle,2024-01-01,6477793536
Institut Virunga,0.48981,29.48117,safe,241.91,Battle,2024-01-01,6477793537
Institut Vingazi,0.48073,29.46129,safe,240.65,Battle,2024-01-01,6477793538
Institut Ujasiri,0.5047,29.47047,safe,243.41,Battle,2024-01-01,6477793539
Institut Tusonge Mbele,0.4859993,29.4468504,safe,241.06,Battle,2024-01-01,6477793540
Institut Professionnel de Paida/IPP,0.48246,29.49508,safe,241.29,Battle,2024-01-01,6477793541
Institut Omega,0.50416,29.42511,safe,242.83,Battle,2024-01-01,6477793542
Institut Mupanda,0.47872,29.48438,safe,240.73,Battle,2024-01-01,6477793543
Institut Mukulia,0.49668,29.45004,safe,242.28,Battle,2024-01-01,6477793544
Institut Mont Bleu,0.48866,29.46955,safe,241.63,Battle,2024-01-01,6477793545
Institut Kisungu,0.49757,29.44745,safe,242.35,Battle,2024-01-01,6477793546
Institut Kanzuli,0.49705,29.45053,safe,242.32,Battle,2024-01-01,6477793548
Institut Kangaembi,0.51519,29.45725,safe,244.41,Battle,2024-01-01,6477793549
Institut Kalumendo/Ecole Primaire Ntoni/CECA 20,0.50546,29.44113,safe,243.15,Battle,2024-01-01,6477793550
Institut Kalemire,0.49896,29.4787,safe,242.89,Battle,2024-01-01,6477793551
Institut Ingieni/Ecole Primaire El Salem/Ecole Primaire Tabi,0.49027,29.44785,safe,241.54,Battle,2024-01-01,6477793552
Institut Hoderi/ Ecole primaire Mabakanga,0.4987654,29.4725493,safe,242.78,Battle,2024-01-01,6477793553
Institut de Beni,0.4849444,29.4624808,safe,241.13,Battle,2024-01-01,6477793554
Institut Butsili,0.50249,29.45161,safe,242.94,Battle,2024-01-01,6477793555
Institut de Bungulu/Munyembelu,0.48508,29.46331,safe,241.16,Battle,2024-01-01,6477793556
Institut de Bundji,0.48487,29.4639,safe,241.14,Battle,2024-01-01,6477793557
Institut BIS,0.4894,29.45802,safe,241.57,Battle,2024-01-01,6477793559
Institut Mabakanga/CECA 20,0.51827,29.49376,safe,245.22,Battle,2024-01-01,6477793560
Institut Katara,0.49948,29.47912,safe,242.95,Battle,2024-01-01,6477793561
École Primaire/Institut Tuha Vuthala,0.51986,29.49024,safe,245.35,Battle,2024-01-01,6477793563
Ecole Primaire/Institut Technique de Mabolio,0.4830097,29.4493802,safe,240.76,Battle,2024-01-01,6477793565
Ecole Primaire/Institut Kilokwa,0.49577,29.4613,safe,242.31,Battle,2024-01-01,6477793566
Ecole Primaire/Institut Emmaüs,0.49421,29.49173,safe,242.54,Battle,2024-01-01,6477793567
Ecole Primaire/Institut Boikene,0.51379,29.48872,safe,244.66,Battle,2024-01-01,6477793568
Ecole Primaire We are the World School,0.4988801,29.430069,safe,242.3,Battle,2024-01-01,6477793569
Ecole Primaire Vusingo,0.4832604,29.4345214,safe,240.62,Battle,2024-01-01,6477793570
Ecole Primaire Vuholo,0.50881,29.43324,safe,243.43,Battle,2024-01-01,6477793571
Ecole Primaire Virunga,0.48984,29.48022,safe,241.9,Battle,2024-01-01,6477793572
Ecole Primaire Vingazi,0.48054,29.46122,safe,240.63,Battle,2024-01-01,6477793573
Ecole Primaire Twanguhe,0.4720873,29.4611249,safe,239.69,Battle,2024-01-01,6477793574
Ecole Primaire Tusongembele,0.50302,29.4524,safe,243.01,Battle,2024-01-01,6477793575
Ecole Primaire Tuha,0.4816697,29.4460368,safe,240.57,Battle,2024-01-01,6477793576
Ecole Primaire Sayuni/8 Ecole Primaire AC,0.50405,29.42568,safe,242.82,Battle,2024-01-01,6477793577
Ecole Primaire Savana School International/Privee,0.4984,29.45218,safe,242.49,Battle,2024-01-01,6477793578
Ecole Primaire Nzoloko,0.49904,29.4469,safe,242.5,Battle,2024-01-01,6477793579
Ecole Primaire Murongani/ECK,0.47646,29.43601,safe,239.88,Battle,2024-01-01,6477793581
Ecole Primaire Munyabelu,0.4817,29.4969,safe,241.23,Battle,2024-01-01,6477793582
Institut Mapendo/Ecole Primaire Elimu,0.4931311,29.4770688,safe,242.22,Battle,2024-01-01,6477793583
EcolePrimaire Mapambazuko,0.5133681,29.4675029,safe,244.33,Battle,2024-01-01,6477799685
Ecole Primaire Maombi,0.5024,29.43147,safe,242.7,Battle,2024-01-01,6477799686
Ecole Primaire Manziko,0.4823163,29.4455649,safe,240.64,Battle,2024-01-01,6477799687
Ecole Primaire Mangombi,0.4927097,29.4392169,safe,241.71,Battle,2024-01-01,6477799688
Ecole Primaire Mabathonzi/Maternelle Alexe,0.5040434,29.4939781,safe,243.65,Battle,2024-01-01,6477799690
Ecole Primaire Mabambila/CECA,0.50414,29.49062,safe,243.62,Battle,2024-01-01,6477799691
Ecole Primaire Maarifa,0.4856244,29.44709,safe,241.02,Battle,2024-01-01,6477799692
Ecole Primaire Maadibisho,0.49793,29.44806,safe,242.39,Battle,2024-01-01,6477799693
Ecole Primaire Luholu,0.49793,29.44733,safe,242.38,Battle,2024-01-01,6477799694
Ecole Primaire Lokoso,0.50481,29.40822,safe,242.73,Battle,2024-01-01,6477799695
Ecole Primaire Le Berceau,0.51468,29.46864,safe,244.49,Battle,2024-01-01,6477799696
Ecole Primaire la Modestie,0.47624,29.46073,safe,240.15,Battle,2024-01-01,6477799697
Ecole Primaire Kyawanda,0.4974698,29.4614178,safe,242.5,Battle,2024-01-01,6477799698
Ecole Primaire Kimbya,0.47214,29.47362,safe,239.86,Battle,2024-01-01,6477799699
Ecole Primaire Kasabinyole,0.49882,29.47935,safe,242.88,Battle,2024-01-01,6477799701
Ecole Primaire Kanzulinzuli,0.49674,29.45057,safe,242.29,Battle,2024-01-01,6477799702
Ecole Primaire Kangaembi,0.51635,29.45676,safe,244.53,Battle,2024-01-01,6477799703
Ecole Primaire Kaliva,0.475628,29.4789447,safe,240.31,Battle,2024-01-01,6477799704
Ecole Primaire Ishango,0.49718,29.43734,safe,242.19,Battle,2024-01-01,6477799706
Ecole Primaire Irambo,0.50509,29.38554,safe,242.56,Battle,2024-01-01,6477799707
