osm_id,latitude,longitude,addr:city,addr:country,addr:district,addr:housenumber,addr:postcode,addr:province,addr:street,addr:subdistrict,addr:suburb,alt_name,amenity,attribution,barrier,building,check_date,comment,conflict_date,conflict_type,contact:email,contact:facebook,date,denomination,description,education,fixme,grades,is_in:admin_level7,is_in:admin_level8,isced:level,min_age,name,name:en,name:fr,nearest_conflict_dist_km,note,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,religion,school:CD,school:gender,short_name,source,source:date,source:name,source_ref,surface,survey:date,type,website,wheelchair,wikidata,wikimedia_commons,wikipedia
5499427140,-4.322862,15.2892861,Kinshasa,,,5,,,Avenue de la Science,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe Scolaire La Puisette Ngoika,,,2.32,,,,,,5499427140,node,,,,,,,,,,,,,,,,,
5500780938,-4.3172306,15.2929687,Kinshasa,,,,,Kinshasa,Avenue 24 Novembre,Linguala,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Bambinière,,,1.91,,,"08:30-12:30,15:30-20:00",,,5500780938,node,,,,,,,,,,,,,,yes,,,
5809109053,-2.4928373,28.840995,,,,,,,,,,,school,,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,SOS Villages D’Efants,SOS Villages for Children,,1.28,,,,,,5809109053,node,,,,,,,,,,,,,,,,,
6039032208,-4.3320157,15.3464466,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe Scolaire Bon Berger,,,4.26,,,,,,6039032208,node,,,,,,,,,,,,,,,,,
6039131956,-4.328405,15.3464996,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Primaire,,,4.15,,,,,,6039131956,node,,,primaire,,,,,,,,,,,,,,
6039151839,-4.3330454,15.3461429,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Groupe Scolaire Tembele,,,4.26,,,,,,6039151839,node,,,,,,,,,,,,,,,,,
6039196508,-4.3331112,15.3473542,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe Scolaire Saint Denis Wa,,,4.39,,,,,,6039196508,node,,,,,,,,,,,,,,,,,
6039240939,-4.3335428,15.346562,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,Centre d'alphabetisation,,,,,,,,Saint Raphael de Karmaria,,,4.32,,,,,,6039240939,node,,,,,,,,,,,,,,,,,
6041492247,-4.3352131,15.3469375,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe Scolaire Monano I,,,4.43,,,,,,6041492247,node,,,,,,,,,,,,,,,,,
6041516468,-4.3352559,15.3387889,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,complexe scolaire serena,,,3.61,,,,,,6041516468,node,,,,,,,,,,,,,,,,,
6043731754,-4.3392248,15.3473746,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Saint Joseph de Cluny,,,4.66,,,,,,6043731754,node,,,,,,,,,,,,,,,,,
6043767829,-4.3381821,15.3462524,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Primaire Kiwanuka,,,4.5,,,,,,6043767829,node,,,primaire,,,,,,,,,,,,,,
6043767831,-4.3379599,15.3455133,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Collège Saint Francois,,,4.42,,,,,,6043767831,node,,,,,,,,,,,,,,,,,
6044078049,-4.3382915,15.3498973,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Groupe Scolaire Dinanga,,,4.87,,,,,,6044078049,node,,,,,,,,,,,,,,,,,
6044159189,-4.3283366,15.3465139,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe Scolaire Gloria,,,4.15,,,,,,6044159189,node,,,,,,,,,,,,,,,,,
6044190350,-4.339365,15.3463878,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe Scolaire The Winner's,,,4.57,,,,,,6044190350,node,,,,,,,,,,,,,,,,,
6050630287,-4.3365751,15.3485133,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe Scolaire La Grace,,,4.65,,,,,,6050630287,node,,,,,,,,,,,,,,,,,
6105989204,-4.3373125,15.3486152,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Le Prodige Divin,,,4.69,,,,,,6105989204,node,,,,,,,,,,,,,,,,,
6113207115,-4.3434319,15.3478789,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Magnificate,,,4.94,,,,,,6113207115,node,,,,,,,,,,,,,,,,,
6115470311,-4.3414126,15.3468463,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,College Royal,,,4.73,,,,,,6115470311,node,,,,,,,,,,,,,,,,,
6282653585,-4.3224751,15.3051724,,,,,,,,,,,school,,,,2023-05-08,,2024-01-03,Strategic development,,,,,,,,,,,,,Institut Saint Jean Baptiste,,,0.6,,,,,,6282653585,node,,,,,,,,,,,,,,,,,
6853565957,-4.3432273,15.2739465,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S. Bukama,,,4.76,,,,,,6853565957,node,,,,,,,,,,,,,,,,,
6939161814,-4.3442302,15.2833986,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,C.S Outres neuves Academie,,,3.99,,,,,,6939161814,node,,,,,,,,,,,,,,,,,
7077075886,-1.6775415,29.2167944,,,,,,,,,,,school,,,,,,2024-01-01,Battle,,,,,,,,,,,,,Campus Universitaire du Lac,,,0.91,,,,,,7077075886,node,,,,,,,,,,,,,,,,,
